TCR_Group,Model,N_Rows,N_Scored,N_Positive,N_Negative,AUC01,Spearman_Rho_vs_log2FC,Spearman_P_vs_log2FC
SVAR.75,EPACT,172,172,172,0,,0.33599750013289165,6.601787786639459e-06
SVAR.75,PanPep,172,172,172,0,,0.006973686537865457,0.9276568837607904
SVAR.75,TITAN,172,172,172,0,,-0.16512449221456096,0.030412339369084704
SVAR.75,NetTCR,172,172,172,0,,-0.026608257816525878,0.7289814152511863
SVAR.75,NetTCR22,172,171,171,0,,0.03293137606666646,0.6689488561241449
SVAR.75,ERGO2,172,172,172,0,,0.16558909020169643,0.02994219981569522
SVAR.75,SCEPTR,172,172,172,0,,,
SVAR.76,ERGO,172,172,87,85,0.5288423899505356,-0.09519182638197363,0.21418178205838218
SVAR.76,EPACT,172,172,87,85,0.48827443863207715,-0.2453158468502411,0.0011805604576038628
SVAR.76,PanPep,172,172,87,85,0.543432618056297,-0.07694162636322148,0.3157595815403675
SVAR.76,TITAN,172,172,87,85,0.47688694352514144,0.001535294981224741,0.9840526316654583
SVAR.76,NetTCR,172,172,87,85,0.5505498024981318,0.08636800737697767,0.25993163719461415
SVAR.76,NetTCR22,172,172,87,85,0.5366712928365539,0.014447338026087194,0.8507957113650753
SVAR.76,ERGO2,172,172,87,85,0.48578342407743497,0.018565041616284427,0.8089942922718399
SVAR.76,SCEPTR,172,172,87,85,0.5,,
SVAR.82,ERGO,172,172,111,61,0.4931946614431515,-0.01352877916715631,0.8601819509409872
SVAR.82,EPACT,172,172,111,61,0.48643207487038376,-0.11651518081641377,0.1279767983014947
SVAR.82,PanPep,172,172,111,61,0.496226165768875,-0.05709137733435369,0.4569408085391873
SVAR.82,TITAN,172,172,111,61,0.4768711766123328,-0.10303238982911617,0.17862966750513365
SVAR.82,NetTCR,172,172,111,61,0.5307386765540346,0.0206333633632791,0.7881917801293044
SVAR.82,NetTCR22,172,172,111,61,0.5183017357305537,0.015757437114155823,0.8374450300869174
SVAR.82,ERGO2,172,172,111,61,0.48169049118143165,0.05216474616897593,0.49675236662471667
SVAR.82,SCEPTR,172,172,111,61,0.48982917782730595,-0.06574366332756457,0.3915220596232434
SVAR.85,ERGO,172,172,116,56,0.49167098781436347,0.020918713581690288,0.7853331777249408
SVAR.85,EPACT,172,172,116,56,0.5022037853253825,0.26071273382510685,0.0005518929677794792
SVAR.85,PanPep,172,172,116,56,0.5125745397977703,-0.06428436243626988,0.40214254599489185
SVAR.85,TITAN,172,172,116,56,0.4766009852216749,-0.11815889378465014,0.12264827233826432
SVAR.85,NetTCR,172,172,116,56,0.5470897070261862,0.021114458026704978,0.7833738900407945
SVAR.85,NetTCR22,172,172,116,56,0.5402838994036816,0.05793210144052211,0.45032908471410715
SVAR.85,ERGO2,172,172,116,56,0.5163015296862847,0.09589944867294961,0.2107795241150107
SVAR.85,SCEPTR,172,172,116,56,0.4917634996582365,-0.11474360806881924,0.13391771873094815
SVAR.90,ERGO,172,172,164,8,0.579589216944801,-0.27872341680000984,0.000213559140787225
SVAR.90,EPACT,172,172,164,8,0.730423620025674,0.03595917669465795,0.6395608816102251
SVAR.90,PanPep,172,172,164,8,0.4961489088575096,0.15698341479531458,0.03972717012375304
SVAR.90,TITAN,172,172,164,8,0.5282413350449294,0.019337417236127096,0.8012094766454743
SVAR.90,NetTCR,172,172,164,8,0.4993581514762516,-0.19359007693585478,0.010942971223812104
SVAR.90,NetTCR22,172,172,164,8,0.49293966623876767,-0.10905317524431404,0.15443467701255134
SVAR.90,ERGO2,172,172,164,8,0.6790757381258024,0.19464061459016296,0.010509693301880422
SVAR.90,SCEPTR,172,172,164,8,0.5,,
