ID,ERGO_Prob,ERGO2_Prob,NetTCR_Prob,NetTCR22_Prob,TITAN_Prob,EPACT_Prob,PanPep_Prob,SCEPTR_Prob
fp_169,0.13165098428726196,0.0498534925282001,0.007198155,0.63314533,0.014858727343380451,0.75295585,0.8074899,0.0
fp_170,0.09740912914276123,0.0008513610810041,0.006882757,0.29878002,0.025624848902225494,0.5090937,0.84266233,0.0
fp_171,0.08010397851467133,0.0650464296340942,0.0072004795,0.7069537,0.011149532161653042,0.7732441,0.8040839,0.0
fp_172,0.03287319839000702,0.1789132952690124,0.0038865209,0.99902886,0.0307457372546196,0.98476034,0.72574735,0.2
fp_173,0.00445001432672143,0.0671793222427368,0.003919035,0.540719,0.060221485793590546,0.93843234,0.7529253,0.2
fp_174,0.015015115030109882,0.6600415706634521,0.0031404197,0.5608288,0.010469036176800728,0.9806466,0.67506444,0.2
fp_175,0.15018537640571594,0.047703456133604,0.0038127005,0.95721215,0.027280716225504875,0.97802323,0.7021842,0.0
fp_176,0.0055811768397688866,0.6639585494995117,0.0037451684,0.77631706,0.0021187025122344494,0.96740335,0.7224649,0.0
fp_177,0.079016774892807,0.4927162230014801,0.004534662,0.4840355,0.06739290058612823,0.006950213,0.73335564,0.2
fp_178,0.15464764833450317,0.6957650780677795,0.0042005777,0.31918034,0.014752568677067757,0.98463535,0.68733275,0.2
fp_179,0.07192487269639969,0.0288049019873142,0.003088504,0.19823922,0.12395640462636948,0.9654998,0.75942945,0.2
fp_180,0.014264216646552086,0.6670732498168945,0.0039580166,0.36141202,0.0197298564016819,0.9829221,0.64062715,0.0
fp_181,0.007402895018458366,0.1540065109729766,0.0035308897,0.8970059,0.047912273555994034,0.9672336,0.702553,0.2
fp_182,0.0039282492361962795,0.6305984258651733,0.004833907,0.47676912,0.010382482782006264,0.9808328,0.7030153,0.2
fp_183,0.05900123715400696,0.0449067987501621,0.0038213432,0.69717574,0.07781705260276794,0.9663175,0.6866852,0.2
fp_184,0.04556858167052269,0.6884825825691223,0.003637135,0.6109408,0.018615305423736572,0.98128796,0.6284896,0.4
fp_185,0.027133112773299217,0.0985743030905723,0.0035366416,0.8224727,0.06875088810920715,0.9507781,0.7378893,0.2
fp_186,0.011329195462167263,0.6587252616882324,0.0040497184,0.56453407,0.010543657466769218,0.9841706,0.6406293,0.2
fp_187,0.0147700859233737,0.411894142627716,0.0033238232,0.18431458,0.04770909994840622,0.9412049,0.74836373,0.2
fp_188,0.09747608751058578,0.6515843868255615,0.0030869246,0.41133958,0.006192444358021021,0.9826964,0.7188692,0.2
fp_189,0.08300940692424774,0.4325018227100372,0.003935516,0.319616,0.040121741592884064,0.9757327,0.7707082,0.2
fp_190,0.003879311727359891,0.5661609172821045,0.0046818256,0.69046026,0.005919146817177534,0.97305363,0.7148621,0.2
fp_191,0.10206227004528046,0.1447530090808868,0.0037834644,0.5978108,0.06267865747213364,0.96022034,0.7587627,0.2
fp_192,0.022999534383416176,0.5629028081893921,0.002935946,0.44655865,0.015257789753377438,0.97974193,0.67076063,0.2
fp_193,0.12251016497612,0.6798526644706726,0.0037941039,0.9626981,0.018322564661502838,0.9833507,0.70412534,0.2
fp_194,0.009342442266643047,0.7004890441894531,0.0026668906,0.8071685,0.011351585388183594,0.9786502,0.67161626,0.2
fp_195,0.1305510550737381,0.6332765221595764,0.003949493,0.95572364,0.01206484530121088,0.9842881,0.77282965,0.2
fp_196,0.037720564752817154,0.6496402025222778,0.004153639,0.59966546,0.0038629965856671333,0.9839622,0.7232226,0.0
fp_197,0.13326318562030792,0.7008391618728638,0.00452587,0.6179414,0.03021189197897911,0.9708855,0.729553,0.2
fp_198,0.009239841252565384,0.0844360738992691,0.0030948222,0.7577339,0.013550296425819397,0.9794486,0.7316795,0.2
fp_199,0.10737361013889313,0.6904627084732056,0.005090177,0.6510921,0.054949335753917694,0.97882164,0.65501624,0.2
fp_200,0.04357635974884033,0.6762650609016418,0.002855152,0.96229666,0.041843678802251816,0.9793016,0.6698114,0.0
fp_201,0.008953249081969261,0.6957960724830627,0.0040135384,0.6547838,0.021158887073397636,0.9758034,0.6499738,0.2
fp_202,0.0030969707295298576,0.1231368482112884,0.0032050014,0.71859646,0.005945243872702122,0.95842683,0.6430023,0.2
fp_203,0.009897325187921524,0.6995018124580383,0.0041301847,0.9477312,0.04965413734316826,0.9781601,0.6899779,0.2
fp_204,0.01074341032654047,0.685035228729248,0.0035718083,0.38129765,0.014333426021039486,0.98300654,0.637568,0.0
fp_205,0.08109907805919647,0.6889112591743469,0.00396201,0.86557513,0.02652372419834137,0.98184216,0.66271335,0.2
fp_206,0.006366456858813763,0.3748955726623535,0.0030594468,0.49625283,0.011443291790783405,0.9826943,0.69989926,0.2
fp_207,0.16351532936096191,0.0546229109168052,0.0039355755,0.58462656,0.019553737714886665,0.9765869,0.7721167,0.2
fp_208,0.0031489580869674683,0.6694316864013672,0.0033274293,0.6511354,0.04585164785385132,0.97587436,0.632666,0.2
fp_209,0.06707172095775604,0.1313182562589645,0.0049464107,0.8874527,0.008329690434038639,0.9424329,0.6694034,0.2
fp_210,0.018751483410596848,0.6553009152412415,0.0029759407,0.44591737,0.012576313689351082,0.98162866,0.6801984,0.2
fp_211,0.13447178900241852,0.3302950263023376,0.0025824904,0.78970593,0.027799682691693306,0.9700421,0.6926143,0.4
fp_212,0.007144033443182707,0.6598210334777832,0.0041310787,0.54627687,0.029392752796411514,0.98222244,0.78417873,0.2
fp_213,0.011177767999470234,0.6987947821617126,0.0033745766,0.9142005,0.023952290415763855,0.97362816,0.6545435,0.2
fp_214,0.032590437680482864,0.2150396704673767,0.0043777525,0.7883667,0.01180577464401722,0.9724061,0.8103955,0.2
fp_215,0.178041011095047,0.0716733708977699,0.004071802,0.9158939,0.008091900497674942,0.98458016,0.751168,0.2
fp_216,0.06453893333673477,0.2061627656221389,0.009221464,0.35652888,0.03194359317421913,0.97616446,0.7463248,0.2
fp_217,0.12175635993480682,0.1615859568119049,0.0034009814,0.9100059,0.01906588487327099,0.9631634,0.70813847,0.2
fp_218,0.005102567374706268,0.142361581325531,0.0054085553,0.41115746,0.0532039999961853,0.97242945,0.57150733,0.2
fp_219,0.1656615287065506,0.7131181359291077,0.0039106905,0.8098711,0.0427367277443409,0.73577213,0.6957222,0.0
fp_220,0.0023916081991046667,0.1648257821798324,0.008410692,0.4373181,0.03565804287791252,0.98550874,0.7164575,0.2
fp_221,0.1765979826450348,0.0880408138036727,0.003919661,0.9555286,0.010431491769850254,0.97570455,0.6394532,0.2
fp_222,0.00368666322901845,0.1554543375968933,0.0046437383,0.5696001,0.04511446878314018,0.97532946,0.83807075,0.2
fp_223,0.19851703941822052,0.6565684676170349,0.003828615,0.8946037,0.030526790767908096,0.9804022,0.6305935,0.2
fp_224,0.034071870148181915,0.6612786650657654,0.0066639483,0.63983023,0.02861313335597515,0.9835618,0.6473367,0.2
fp_225,0.02665572240948677,0.6482378840446472,0.0040421784,0.35242254,0.021329274401068687,0.9425182,0.65425044,0.2
